68,72,"SRF Ltd.,",INE647A01010,SRF,"7 2,038.73",SRF,"7 2,044.60",,,"72,041.66",Large Cap,SRF,112.0,SRF Limited,7589216.5820625
69,73,Tata Power Co. Ltd,INE245A01021,TATAPOWER,"7 1,801.20",TATAPOWER,"7 1,804.14",,,"71,802.67",Large Cap,TATAPOWER,60.0,Tata Power Company Limited,12596028.494274
70,74,Varun Beverages Limited,INE200M01013,VBL,"7 0,363.48",VBL,"7 0,373.22",,,"70,368.35",Large Cap,VBL,44.0,Varun Beverages Limited,18173275.015518002
71,75,"Bharat Petroleum Corpn. Ltd.,",INE029A01011,BPCL,"6 9,720.56",BPCL,"6 9,723.77",,,"69,722.17",Large Cap,BPCL,57.0,Bharat Petroleum Corporation Limited,13067578.529856
72,76,Bajaj Holdings & Investment Limited,INE118A01012,BAJAJHLDNG,"6 6,794.67",BAJAJHLDNG,"6 6,797.87",,,"66,796.27",Large Cap,BAJAJHLDNG,88.0,Bajaj Holdings & Investment Limited,9207033.848525
73,77,Marico Limited,INE196A01026,MARICO,"6 6,624.96",MARICO,"6 6,636.24",,,"66,630.60",Large Cap,MARICO,126.0,Marico Limited,6434161.722736
74,78,"Apollo Hospitals Enterprises Ltd.,",INE437A01024,APOLLOHOSP,"6 2,917.26",APOLLOHOSP,"6 2,924.59",,,"62,920.92",Large Cap,APOLLOHOSP,90.0,Apollo Hospitals Enterprise Limited,9140103.076175999
75,79,ABB India Limited,INE117A01022,ABB,"6 2,895.27",ABB,"6 2,895.29",,,"62,895.28",Large Cap,ABB,56.0,ABB India Limited,13479173.8711875
76,81,Berger Paints India Ltd,INE463A01038,BERGEPAINT,"6 0,202.28",BERGEPAINT,"6 0,209.43",,,"60,205.86",Large Cap,BERGEPAINT,120.0,Berger Paints (I) Limited,6680443.403382
77,82,Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN,"6 0,117.70",CHOLAFIN,"6 0,106.45",,,"60,112.07",Large Cap,CHOLAFIN,82.0,Cholamandalam Investment and Finance Company Limited,9714079.688042
78,83,Gail (India) Ltd.,INE129A01019,GAIL,"5 9,821.57",GAIL,"6 0,205.84",,,"60,013.70",Large Cap,GAIL,67.0,GAIL (India) Limited,11904217.905461999
79,84,ICICI Lombard General Insurance Company Limited,INE765G01017,ICICIGI,"5 9,140.23",ICICIGI,"5 9,141.76",,,"59,141.00",Large Cap,ICICIGI,102.0,ICICI Lombard General Insurance Company Limited,8298324.538905
80,85,FSN E-Commerce Ventures Limited,INE388Y01029,NYKAA,"5 8,654.25",NYKAA,"5 8,641.63",,,"58,647.94",Large Cap,NYKAA,164.0,FSN E-Commerce Ventures Limited,4623971.1098879995
81,86,UPL Limited,INE628A01036,UPL,"5 5,789.32",UPL,"5 4,815.07",,,"55,302.20",Large Cap,UPL,203.0,UPL Limited,3422770.84296
82,87,Indian Railway Catering & Tourism Corporation Ltd,INE335Y01020,IRCTC,"5 5,075.87",IRCTC,"5 5,075.97",,,"55,075.92",Large Cap,IRCTC,113.0,Indian Railway Catering And Tourism Corporation Limited,7437600
